"Age_","Income","Experience","Married.Single","House_Ownership","Car_Ownership","CITY","STATE","CURRENT_JOB_YRS","CURRENT_HOUSE_YRS","Risk_Flag","Profession"
33,4535286,17,"single","rented","no","Surat","Gujarat",4,12,0,"Software_Developer"
45,8347246,17,"single","rented","no","Navi_Mumbai","Maharashtra",12,13,0,"Software_Developer"
65,6814983,18,"single","rented","no","Ballia","Uttar_Pradesh",14,11,0,"Software_Developer"
40,6646967,7,"single","rented","no","Gopalpur","West_Bengal",6,13,0,"Software_Developer"
58,2364798,5,"single","rented","no","Gudivada","Andhra_Pradesh",5,10,0,"Software_Developer"
56,1360053,9,"single","rented","no","Kharagpur","West_Bengal",4,11,0,"Software_Developer"
56,7845861,7,"single","rented","no","Siwan[32]","Bihar",4,10,0,"Software_Developer"
21,1399162,8,"single","rented","yes","Solapur","Maharashtra",8,10,0,"Software_Developer"
36,3527423,11,"married","rented","yes","Junagadh","Gujarat",5,13,0,"Software_Developer"
67,4994848,9,"single","rented","no","Durgapur","West_Bengal",9,13,0,"Software_Developer"
37,7845861,7,"single","rented","no","Siwan[32]","Bihar",4,10,0,"Software_Developer"
49,3802714,16,"single","rented","no","Madanapalle","Andhra_Pradesh",8,13,0,"Software_Developer"
71,9390552,7,"single","rented","yes","Orai","Uttar_Pradesh",7,12,0,"Software_Developer"
44,1796846,16,"single","rented","yes","Bidar","Karnataka",9,14,0,"Software_Developer"
74,7574516,10,"single","rented","no","Parbhani","Maharashtra",9,13,0,"Software_Developer"
55,3472864,10,"single","rented","yes","Jamnagar","Gujarat",5,13,0,"Software_Developer"
39,1796846,16,"single","rented","yes","Bidar","Karnataka",9,14,0,"Software_Developer"
58,6284059,4,"single","norent_noown","no","Ulhasnagar","Maharashtra",4,11,0,"Software_Developer"
55,9584354,17,"single","rented","yes","Morena","Madhya_Pradesh",12,13,1,"Software_Developer"
45,7040268,19,"single","rented","yes","Bhalswa_Jahangir_Pur","Delhi",11,13,0,"Software_Developer"
42,5812529,2,"single","rented","yes","Tiruchirappalli[10]","Tamil_Nadu",2,11,0,"Software_Developer"
31,5965136,15,"single","rented","no","Jamshedpur","Jharkhand",10,12,1,"Software_Developer"
48,8458276,17,"single","rented","yes","Dharmavaram","Andhra_Pradesh",6,10,0,"Software_Developer"
53,8145890,5,"single","rented","yes","Avadi","Tamil_Nadu",5,11,0,"Software_Developer"
74,423074,16,"single","rented","no","Nizamabad","Telangana",14,11,1,"Software_Developer"
61,5965136,15,"single","rented","no","Jamshedpur","Jharkhand",10,12,1,"Software_Developer"
80,9376698,2,"married","rented","no","Kharagpur","West_Bengal",2,14,0,"Software_Developer"
54,2577341,7,"single","rented","yes","Sirsa","Haryana",7,11,0,"Software_Developer"
50,7845861,7,"single","rented","no","Siwan[32]","Bihar",4,10,0,"Software_Developer"
34,3527423,11,"married","rented","yes","Junagadh","Gujarat",5,13,0,"Software_Developer"
28,6530277,5,"single","rented","no","Srikakulam","Andhra_Pradesh",5,13,0,"Software_Developer"
52,9364159,6,"married","rented","no","Bhavnagar","Gujarat",4,11,0,"Software_Developer"
42,4792641,15,"single","rented","yes","Kakinada","Andhra_Pradesh",13,10,0,"Software_Developer"
24,191452,1,"single","owned","yes","Tinsukia","Assam",1,12,0,"Software_Developer"
32,1692995,8,"single","rented","no","Aurangabad[39]","Bihar",8,14,0,"Software_Developer"
44,8915716,3,"single","rented","no","Aizawl","Mizoram",3,11,0,"Software_Developer"
62,9584354,17,"single","rented","yes","Morena","Madhya_Pradesh",12,13,0,"Software_Developer"
57,4994848,9,"single","rented","no","Durgapur","West_Bengal",9,13,0,"Software_Developer"
21,6814983,18,"single","rented","no","Ballia","Uttar_Pradesh",14,11,0,"Software_Developer"
20,5798034,19,"single","norent_noown","no","Motihari[34]","Bihar",3,12,0,"Software_Developer"
32,6530277,5,"single","rented","no","Srikakulam","Andhra_Pradesh",5,13,0,"Software_Developer"
34,1040029,5,"single","rented","yes","Aizawl","Mizoram",5,10,0,"Software_Developer"
57,5734542,12,"single","rented","no","Unnao","Uttar_Pradesh",5,13,0,"Software_Developer"
44,7489827,13,"single","rented","no","Hubliâ€“Dharwad","Karnataka",11,10,0,"Software_Developer"
32,5798034,19,"single","norent_noown","no","Motihari[34]","Bihar",3,12,0,"Software_Developer"
33,1692995,8,"single","rented","no","Aurangabad[39]","Bihar",8,14,0,"Software_Developer"
41,2162632,7,"single","rented","yes","Bellary","Karnataka",7,10,0,"Software_Developer"
56,9899664,5,"single","rented","no","Bidhannagar","West_Bengal",5,10,0,"Software_Developer"
22,3364364,10,"single","rented","no","Kumbakonam","Tamil_Nadu",4,11,0,"Software_Developer"
45,7489827,13,"single","rented","no","Hubliâ€“Dharwad","Karnataka",11,10,0,"Software_Developer"
49,897017,0,"single","rented","yes","Vadodara","Gujarat",0,13,0,"Software_Developer"
35,4913009,20,"single","rented","yes","Rajahmundry[19][20]","Andhra_Pradesh",4,12,0,"Software_Developer"
62,3218946,0,"single","rented","no","Vijayanagaram","Andhra_Pradesh",0,11,0,"Software_Developer"
85,3584197,11,"single","rented","no","Srikakulam","Andhra_Pradesh",11,10,0,"Software_Developer"
38,9390552,7,"single","rented","yes","Orai","Uttar_Pradesh",7,12,0,"Software_Developer"
46,6821441,13,"single","rented","no","Silchar","Assam",7,11,0,"Software_Developer"
83,1955424,7,"single","rented","no","Farrukhabad","Uttar_Pradesh",6,10,0,"Software_Developer"
51,4994848,9,"single","rented","no","Durgapur","West_Bengal",9,13,0,"Software_Developer"
21,6619884,17,"single","rented","no","Amaravati","Andhra_Pradesh",12,10,0,"Software_Developer"
76,8806392,5,"married","rented","no","Giridih","Jharkhand",5,13,0,"Software_Developer"
50,4994848,9,"single","rented","no","Durgapur","West_Bengal",9,13,0,"Software_Developer"
37,6814983,18,"single","rented","no","Ballia","Uttar_Pradesh",14,11,0,"Software_Developer"
53,5400619,1,"single","rented","no","Allahabad","Uttar_Pradesh[5]",1,12,0,"Software_Developer"
29,9850294,17,"single","rented","no","Thanjavur","Tamil_Nadu",5,12,0,"Software_Developer"
45,8280318,5,"single","rented","no","South_Dumdum","West_Bengal",5,11,0,"Software_Developer"
62,3527423,11,"married","rented","yes","Junagadh","Gujarat",5,13,0,"Software_Developer"
61,7121677,16,"single","rented","no","Panvel","Maharashtra",7,10,0,"Software_Developer"
49,9376698,2,"married","rented","no","Kharagpur","West_Bengal",2,14,0,"Software_Developer"
65,1230362,7,"single","rented","no","Haridwar","Uttarakhand",7,10,0,"Software_Developer"
49,5821445,15,"single","rented","no","Tezpur","Assam",13,12,0,"Software_Developer"
58,423074,16,"single","rented","no","Nizamabad","Telangana",14,11,0,"Software_Developer"
66,1800877,10,"married","rented","yes","Narasaraopet","Andhra_Pradesh",5,13,0,"Software_Developer"
54,5400619,1,"single","rented","no","Allahabad","Uttar_Pradesh[5]",1,12,0,"Software_Developer"
42,5734542,12,"single","rented","no","Unnao","Uttar_Pradesh",5,13,0,"Software_Developer"
38,726110,18,"single","norent_noown","yes","Medininagar","Jharkhand",10,13,0,"Software_Developer"
45,6821441,13,"single","rented","no","Silchar","Assam",7,11,0,"Software_Developer"
45,3364364,10,"single","rented","no","Kumbakonam","Tamil_Nadu",4,11,0,"Software_Developer"
8,8064081,18,"single","rented","yes","Bhiwani","Haryana",9,14,0,"Software_Developer"
56,3268962,18,"single","rented","no","Mehsana","Gujarat",11,13,0,"Software_Developer"
74,5734542,12,"single","rented","no","Unnao","Uttar_Pradesh",5,13,0,"Software_Developer"
49,8347246,17,"single","rented","no","Navi_Mumbai","Maharashtra",12,13,0,"Software_Developer"
54,6256451,2,"single","rented","yes","Bhubaneswar","Odisha",2,12,1,"Software_Developer"
40,5554586,18,"single","rented","no","Hindupur","Andhra_Pradesh",13,13,1,"Software_Developer"
29,9364159,6,"married","rented","no","Bhavnagar","Gujarat",4,11,0,"Software_Developer"
35,5734106,3,"single","rented","no","Nandyal","Andhra_Pradesh",3,11,0,"Software_Developer"
53,5798034,19,"single","norent_noown","no","Motihari[34]","Bihar",3,12,0,"Software_Developer"
81,469269,7,"single","rented","no","Nashik","Maharashtra",3,12,1,"Software_Developer"
16,8311313,8,"single","rented","no","Giridih","Jharkhand",8,12,0,"Software_Developer"
35,3291384,4,"single","rented","no","Nandyal","Andhra_Pradesh",4,12,0,"Software_Developer"
52,3478269,2,"single","rented","no","Gopalpur","West_Bengal",2,13,0,"Software_Developer"
43,7537350,12,"single","rented","yes","Karawal_Nagar","Delhi",11,13,0,"Software_Developer"
63,6814983,18,"single","rented","no","Ballia","Uttar_Pradesh",14,11,0,"Software_Developer"
50,1692995,8,"single","rented","no","Aurangabad[39]","Bihar",8,14,0,"Software_Developer"
64,5821445,15,"single","rented","no","Tezpur","Assam",13,12,0,"Software_Developer"
22,3364364,10,"single","rented","no","Kumbakonam","Tamil_Nadu",4,11,0,"Software_Developer"
34,8347246,17,"single","rented","no","Navi_Mumbai","Maharashtra",12,13,0,"Software_Developer"
43,7489827,13,"single","rented","no","Hubliâ€“Dharwad","Karnataka",11,10,0,"Software_Developer"
17,3268962,18,"single","rented","no","Mehsana","Gujarat",11,13,0,"Software_Developer"
50,9376698,2,"married","rented","no","Kharagpur","West_Bengal",2,14,0,"Software_Developer"
37,4164155,2,"single","norent_noown","no","Bhopal","Madhya_Pradesh",2,13,0,"Software_Developer"
16,8311313,8,"single","rented","no","Giridih","Jharkhand",8,12,0,"Software_Developer"
67,7574516,10,"single","rented","no","Parbhani","Maharashtra",9,13,0,"Software_Developer"
15,9364159,6,"married","rented","no","Bhavnagar","Gujarat",4,11,0,"Software_Developer"
33,9899664,5,"single","rented","no","Bidhannagar","West_Bengal",5,10,0,"Software_Developer"
25,4514928,20,"single","rented","yes","Bhubaneswar","Odisha",5,11,0,"Software_Developer"
52,8354402,4,"single","rented","no","Avadi","Tamil_Nadu",4,12,0,"Software_Developer"
57,1796846,16,"single","rented","yes","Bidar","Karnataka",9,14,0,"Software_Developer"
63,8458276,17,"single","rented","yes","Dharmavaram","Andhra_Pradesh",6,10,0,"Software_Developer"
48,4428363,11,"single","rented","no","Nagaon","Assam",11,10,1,"Software_Developer"
23,3802714,16,"single","rented","no","Madanapalle","Andhra_Pradesh",8,13,1,"Software_Developer"
44,9299586,5,"single","rented","yes","Solapur","Maharashtra",3,13,0,"Software_Developer"
100,3472864,10,"single","rented","yes","Jamnagar","Gujarat",5,13,0,"Software_Developer"
40,2663598,15,"single","rented","no","Rajahmundry[19][20]","Andhra_Pradesh",11,12,0,"Software_Developer"
23,7845861,7,"single","rented","no","Siwan[32]","Bihar",4,10,0,"Software_Developer"
27,8064081,18,"single","rented","yes","Bhiwani","Haryana",9,14,0,"Software_Developer"
44,3850382,17,"single","rented","yes","Rewa","Madhya_Pradesh",3,12,0,"Software_Developer"
37,3315074,14,"single","rented","no","Thoothukudi","Tamil_Nadu",8,13,0,"Software_Developer"
45,6986888,19,"single","rented","no","Sri_Ganganagar","Rajasthan",13,14,0,"Software_Developer"
37,4927479,12,"single","rented","no","Lucknow","Uttar_Pradesh",12,13,1,"Software_Developer"
20,6655487,20,"married","rented","no","Rourkela","Odisha",7,11,0,"Software_Developer"
30,8976479,16,"single","rented","no","Howrah","West_Bengal",6,12,0,"Software_Developer"
-6,4805637,9,"single","owned","no","Yamunanagar","Haryana",9,10,0,"Software_Developer"
70,1680989,3,"single","rented","no","Nagaon","Assam",3,13,0,"Software_Developer"
64,580349,6,"single","rented","no","Gandhidham","Gujarat",6,13,0,"Software_Developer"
51,2210414,12,"single","rented","yes","Jalna","Maharashtra",12,10,0,"Software_Developer"
87,4127283,2,"single","owned","yes","Naihati","West_Bengal",2,14,0,"Software_Developer"
46,4201566,7,"single","rented","no","Jabalpur","Madhya_Pradesh",7,12,1,"Software_Developer"
67,9798729,19,"single","rented","yes","Guwahati","Assam",6,12,0,"Software_Developer"
54,6935072,9,"single","rented","no","North_Dumdum","West_Bengal",9,12,1,"Software_Developer"
64,8708356,9,"single","rented","no","Chandigarh_city","Chandigarh",8,10,0,"Software_Developer"
38,4156523,5,"single","owned","no","Bhubaneswar","Odisha",4,10,1,"Software_Developer"
56,5623733,13,"single","rented","no","Nandyal","Andhra_Pradesh",4,10,0,"Software_Developer"
46,4172308,18,"single","rented","no","Pune","Maharashtra",7,11,0,"Software_Developer"
47,7451182,1,"single","rented","no","Dindigul","Tamil_Nadu",1,14,0,"Software_Developer"
53,6844221,7,"single","norent_noown","yes","Coimbatore","Tamil_Nadu",7,14,0,"Software_Developer"
32,3889108,2,"single","rented","yes","Ambarnath","Maharashtra",2,13,0,"Software_Developer"
59,7398391,8,"single","rented","yes","Tiruvottiyur","Tamil_Nadu",8,12,0,"Software_Developer"
27,808476,1,"single","rented","no","Deoghar","Jharkhand",1,13,0,"Biomedical_Engineer"
52,9775983,6,"single","rented","no","Ranchi","Jharkhand",6,12,1,"Biomedical_Engineer"
34,7867670,19,"single","rented","no","Bhavnagar","Gujarat",12,13,0,"Biomedical_Engineer"
52,103611,16,"married","rented","no","Aligarh","Uttar_Pradesh",10,14,0,"Biomedical_Engineer"
60,1966474,16,"single","rented","yes","Visakhapatnam[4]","Andhra_Pradesh",4,10,0,"Biomedical_Engineer"
57,4655230,4,"single","rented","yes","Panihati","West_Bengal",4,10,0,"Biomedical_Engineer"
22,1161425,14,"single","rented","no","Bongaigaon","Assam",13,13,0,"Biomedical_Engineer"
38,987476,17,"single","rented","yes","Khora,_Ghaziabad","Uttar_Pradesh",14,12,0,"Biomedical_Engineer"
57,6428225,20,"single","rented","no","Mango","Jharkhand",7,14,0,"Biomedical_Engineer"
63,5559747,9,"single","rented","yes","Dharmavaram","Andhra_Pradesh",9,10,0,"Biomedical_Engineer"
51,3013661,3,"single","owned","no","Kirari_Suleman_Nagar","Delhi",3,14,0,"Biomedical_Engineer"
35,7084312,19,"single","rented","no","Raebareli","Uttar_Pradesh",4,14,0,"Biomedical_Engineer"
29,7527288,10,"single","rented","no","Muzaffarpur","Bihar",5,11,0,"Biomedical_Engineer"
54,5943449,3,"single","rented","no","Warangal[11][12]","Telangana",3,11,0,"Biomedical_Engineer"
47,267827,10,"single","rented","yes","Kumbakonam","Tamil_Nadu",3,10,0,"Biomedical_Engineer"
47,3643652,2,"single","rented","no","Baranagar","West_Bengal",2,10,1,"Biomedical_Engineer"
72,8719218,9,"single","rented","no","Mysore[7][8][9]","Karnataka",9,11,0,"Biomedical_Engineer"
17,7839236,7,"single","rented","no","Amravati","Maharashtra",7,14,1,"Biomedical_Engineer"
19,9131115,4,"single","rented","no","Panvel","Maharashtra",4,10,0,"Biomedical_Engineer"
28,6679057,5,"single","rented","yes","Katni","Madhya_Pradesh",5,13,0,"Biomedical_Engineer"
39,7138986,17,"single","owned","yes","Burhanpur","Madhya_Pradesh",14,13,0,"Biomedical_Engineer"
59,642884,18,"single","rented","no","Thane","Maharashtra",4,12,0,"Biomedical_Engineer"
59,8688804,12,"single","rented","no","Baranagar","West_Bengal",7,11,0,"Biomedical_Engineer"
67,4306831,17,"single","rented","no","Katihar","Bihar",6,12,0,"Biomedical_Engineer"
57,706221,9,"single","rented","no","Erode[17]","Tamil_Nadu",9,13,0,"Biomedical_Engineer"
53,8939486,8,"single","rented","yes","Durg","Chhattisgarh",8,14,0,"Biomedical_Engineer"
45,5295940,20,"single","rented","no","Shivpuri","Madhya_Pradesh",4,14,0,"Biomedical_Engineer"
47,6460510,17,"married","rented","no","Siliguri","West_Bengal",12,14,0,"Biomedical_Engineer"
38,8832725,5,"single","rented","no","Pondicherry","Puducherry",5,11,0,"Biomedical_Engineer"
70,4593497,15,"married","rented","no","Begusarai","Bihar",8,14,0,"Biomedical_Engineer"
67,5010356,8,"single","rented","no","Ajmer","Rajasthan",8,14,0,"Biomedical_Engineer"
77,4400405,17,"single","rented","yes","Dharmavaram","Andhra_Pradesh",8,12,0,"Biomedical_Engineer"
31,4245860,3,"single","rented","no","Pimpri-Chinchwad","Maharashtra",3,11,0,"Biomedical_Engineer"
49,5993219,17,"single","rented","yes","Nagaon","Assam",4,12,0,"Biomedical_Engineer"
68,8508480,0,"single","rented","no","Kulti","West_Bengal",0,10,0,"Biomedical_Engineer"
44,5295940,20,"single","rented","no","Shivpuri","Madhya_Pradesh",4,14,0,"Biomedical_Engineer"
60,4407294,20,"single","rented","no","Surat","Gujarat",7,12,0,"Biomedical_Engineer"
56,422892,7,"single","rented","yes","Satara","Maharashtra",7,10,0,"Biomedical_Engineer"
36,974748,6,"single","rented","no","Nagpur","Maharashtra",6,11,0,"Biomedical_Engineer"
30,2829146,7,"single","rented","yes","Darbhanga","Bihar",4,14,0,"Biomedical_Engineer"
34,1537256,5,"single","rented","yes","Bathinda","Punjab",5,14,1,"Biomedical_Engineer"
69,8688804,12,"single","rented","no","Baranagar","West_Bengal",7,11,0,"Biomedical_Engineer"
37,1509327,0,"married","rented","yes","Nizamabad","Telangana",0,11,0,"Biomedical_Engineer"
31,3342118,9,"single","rented","no","Haridwar","Uttarakhand",6,11,0,"Biomedical_Engineer"
77,6428225,20,"single","rented","no","Mango","Jharkhand",7,14,0,"Biomedical_Engineer"
38,9131115,4,"single","rented","no","Panvel","Maharashtra",4,10,0,"Biomedical_Engineer"
81,1810939,15,"single","rented","no","Adoni","Andhra_Pradesh",4,13,0,"Biomedical_Engineer"
68,5765297,18,"single","rented","yes","Ajmer","Rajasthan",5,10,0,"Biomedical_Engineer"
47,2280615,1,"single","norent_noown","no","Visakhapatnam[4]","Andhra_Pradesh",1,14,1,"Biomedical_Engineer"
45,1810939,15,"single","rented","no","Adoni","Andhra_Pradesh",4,13,0,"Biomedical_Engineer"
45,3891771,9,"single","rented","yes","Tiruvottiyur","Tamil_Nadu",8,10,0,"Biomedical_Engineer"
71,7867670,19,"single","rented","no","Bhavnagar","Gujarat",12,13,0,"Biomedical_Engineer"
58,4388062,2,"single","rented","no","Dindigul","Tamil_Nadu",2,10,1,"Biomedical_Engineer"
56,5993219,17,"single","rented","yes","Nagaon","Assam",4,12,0,"Biomedical_Engineer"
44,1192674,13,"single","rented","no","Howrah","West_Bengal",8,14,0,"Biomedical_Engineer"
23,987476,17,"single","rented","yes","Khora,_Ghaziabad","Uttar_Pradesh",14,12,0,"Biomedical_Engineer"
25,9204815,2,"single","rented","yes","Meerut","Uttar_Pradesh",2,10,0,"Biomedical_Engineer"
38,6094810,17,"single","owned","no","Machilipatnam","Andhra_Pradesh",10,13,0,"Biomedical_Engineer"
72,2131115,19,"single","rented","yes","Alwar","Rajasthan",14,13,0,"Biomedical_Engineer"
37,5829652,7,"single","owned","no","Chandigarh_city","Chandigarh",7,11,0,"Biomedical_Engineer"
51,3540135,4,"single","rented","no","Howrah","West_Bengal",4,11,0,"Biomedical_Engineer"
38,3657551,7,"single","rented","no","Thiruvananthapuram","Kerala",7,10,0,"Biomedical_Engineer"
56,9434255,12,"single","rented","no","Vijayawada","Andhra_Pradesh",12,12,0,"Biomedical_Engineer"
43,974748,6,"single","rented","no","Nagpur","Maharashtra",6,11,0,"Biomedical_Engineer"
33,8426506,1,"single","rented","yes","Katni","Madhya_Pradesh",1,12,0,"Biomedical_Engineer"
27,6967997,5,"single","rented","yes","Belgaum","Karnataka",4,14,0,"Biomedical_Engineer"
56,1410169,17,"single","rented","no","Ludhiana","Punjab",5,13,0,"Biomedical_Engineer"
47,2936833,9,"single","rented","yes","Haldia","West_Bengal",9,13,0,"Biomedical_Engineer"
99,1509327,0,"married","rented","yes","Nizamabad","Telangana",0,11,0,"Biomedical_Engineer"
11,8007036,14,"single","owned","no","Kirari_Suleman_Nagar","Delhi",4,13,0,"Biomedical_Engineer"
40,7527288,10,"single","rented","no","Muzaffarpur","Bihar",5,11,0,"Biomedical_Engineer"
65,8755938,20,"single","rented","yes","Delhi_city","Delhi",14,13,0,"Biomedical_Engineer"
38,8007036,14,"single","owned","no","Kirari_Suleman_Nagar","Delhi",4,13,0,"Biomedical_Engineer"
84,4937591,2,"single","rented","no","Buxar[37]","Bihar",2,13,1,"Biomedical_Engineer"
33,9204815,2,"single","rented","yes","Meerut","Uttar_Pradesh",2,10,0,"Biomedical_Engineer"
60,8688804,12,"single","rented","no","Baranagar","West_Bengal",7,11,0,"Biomedical_Engineer"
31,5765297,18,"single","rented","yes","Ajmer","Rajasthan",5,10,0,"Biomedical_Engineer"
26,2584624,14,"single","rented","no","Kota[6]","Rajasthan",8,12,0,"Biomedical_Engineer"
32,7084312,19,"single","rented","no","Raebareli","Uttar_Pradesh",4,14,0,"Biomedical_Engineer"
43,3791460,15,"single","rented","no","Bahraich","Uttar_Pradesh",7,14,0,"Biomedical_Engineer"
62,8596569,0,"single","rented","no","Vijayanagaram","Andhra_Pradesh",0,13,1,"Biomedical_Engineer"
28,8508480,0,"single","rented","no","Kulti","West_Bengal",0,10,0,"Biomedical_Engineer"
50,3891771,9,"single","rented","yes","Tiruvottiyur","Tamil_Nadu",8,10,0,"Biomedical_Engineer"
49,117262,15,"single","rented","no","Uluberia","West_Bengal",12,12,0,"Biomedical_Engineer"
74,1410169,17,"single","rented","no","Ludhiana","Punjab",5,13,0,"Biomedical_Engineer"
59,6307225,11,"single","rented","yes","Bhagalpur","Bihar",8,12,0,"Biomedical_Engineer"
49,7072319,3,"single","rented","no","Suryapet","Telangana",3,11,0,"Biomedical_Engineer"
42,2829146,7,"single","rented","yes","Darbhanga","Bihar",4,14,0,"Biomedical_Engineer"
58,3540135,4,"single","rented","no","Howrah","West_Bengal",4,11,0,"Biomedical_Engineer"
16,9434255,12,"single","rented","no","Vijayawada","Andhra_Pradesh",12,12,0,"Biomedical_Engineer"
31,9775983,6,"single","rented","no","Ranchi","Jharkhand",6,12,0,"Biomedical_Engineer"
40,8596569,0,"single","rented","no","Vijayanagaram","Andhra_Pradesh",0,13,1,"Biomedical_Engineer"
64,5295940,20,"single","rented","no","Shivpuri","Madhya_Pradesh",4,14,0,"Biomedical_Engineer"
19,6623565,16,"single","rented","no","Bhind","Madhya_Pradesh",5,13,0,"Biomedical_Engineer"
35,5295940,20,"single","rented","no","Shivpuri","Madhya_Pradesh",4,14,0,"Biomedical_Engineer"
43,987476,17,"single","rented","yes","Khora,_Ghaziabad","Uttar_Pradesh",14,12,0,"Biomedical_Engineer"
42,2860021,17,"single","norent_noown","no","Jhansi","Uttar_Pradesh",11,13,0,"Biomedical_Engineer"
68,6428225,20,"single","rented","no","Mango","Jharkhand",7,14,0,"Biomedical_Engineer"
57,7072319,3,"single","rented","no","Suryapet","Telangana",3,11,0,"Biomedical_Engineer"
63,7867670,19,"single","rented","no","Bhavnagar","Gujarat",12,13,0,"Biomedical_Engineer"
25,622487,10,"single","rented","no","Durg","Chhattisgarh",10,10,0,"Biomedical_Engineer"
52,8007036,14,"single","owned","no","Kirari_Suleman_Nagar","Delhi",4,13,0,"Biomedical_Engineer"
38,6428225,20,"single","rented","no","Mango","Jharkhand",7,14,0,"Biomedical_Engineer"
36,9131115,4,"single","rented","no","Panvel","Maharashtra",4,10,0,"Biomedical_Engineer"
74,2936833,9,"single","rented","yes","Haldia","West_Bengal",9,13,1,"Biomedical_Engineer"
31,4510338,17,"single","rented","no","Hospet","Karnataka",5,10,1,"Biomedical_Engineer"
43,5295940,20,"single","rented","no","Shivpuri","Madhya_Pradesh",4,14,0,"Biomedical_Engineer"
33,2131115,19,"single","rented","yes","Alwar","Rajasthan",14,13,0,"Biomedical_Engineer"
49,9204815,2,"single","rented","yes","Meerut","Uttar_Pradesh",2,10,0,"Biomedical_Engineer"
76,5010356,8,"single","rented","no","Ajmer","Rajasthan",8,14,0,"Biomedical_Engineer"
35,8939486,8,"single","rented","yes","Durg","Chhattisgarh",8,14,0,"Biomedical_Engineer"
36,6307225,11,"single","rented","yes","Bhagalpur","Bihar",8,12,0,"Biomedical_Engineer"
11,3657551,7,"single","rented","no","Thiruvananthapuram","Kerala",7,10,0,"Biomedical_Engineer"
54,8939486,8,"single","rented","yes","Durg","Chhattisgarh",8,14,0,"Biomedical_Engineer"
42,7212880,17,"single","rented","no","Guna","Madhya_Pradesh",13,12,1,"Biomedical_Engineer"
71,2280615,1,"single","norent_noown","no","Visakhapatnam[4]","Andhra_Pradesh",1,14,0,"Biomedical_Engineer"
55,9841721,19,"single","rented","no","Bongaigaon","Assam",9,12,0,"Biomedical_Engineer"
32,974748,6,"single","rented","no","Nagpur","Maharashtra",6,11,1,"Biomedical_Engineer"
60,5069235,10,"single","rented","yes","Jalna","Maharashtra",9,14,0,"Biomedical_Engineer"
35,4245860,3,"single","rented","no","Pimpri-Chinchwad","Maharashtra",3,11,0,"Biomedical_Engineer"
47,2703393,17,"single","norent_noown","no","Agartala","Tripura",13,13,0,"Biomedical_Engineer"
37,4664922,12,"single","rented","no","Shahjahanpur","Uttar_Pradesh",12,14,0,"Biomedical_Engineer"
47,9204815,2,"single","rented","yes","Meerut","Uttar_Pradesh",2,10,0,"Biomedical_Engineer"
15,6645586,4,"married","rented","no","Rewa","Madhya_Pradesh",4,13,0,"Biomedical_Engineer"
31,8772836,1,"single","rented","yes","Dhanbad","Jharkhand",1,12,0,"Biomedical_Engineer"
40,6433471,10,"single","rented","no","Karimnagar","Telangana",10,12,1,"Biomedical_Engineer"
